LandingGearUp.wav		100 2000 ; 000__1_0
LandingGearUp.wav		100 2000 ; 114_0_0_Xwing
LandingGearUp.wav		100 2000 ; 115_0_142_Suprosa
LandingGearUp.wav		100 2000 ; 116__1_0
LandingGearUp.wav		100 2000 ; 117__1_0
LandingGearUp.wav		100 2000 ; 118__1_0
LandingGearUp.wav		100 2000 ; 119__1_0
LandingGearUp.wav		100 2000 ; 120__1_0
LandingGearUp.wav		100 2000 ; 121__1_0
LandingGearUp.wav		100 2000 ; 122__1_0
LandingGearUp.wav		100 2000 ; 123__1_0
LandingGearUp.wav		100 2000 ; 124__1_0
LandingGearUp.wav		100 2000 ; 125__1_0
LandingGearUp.wav		100 2000 ; 126_0_80_Corvette2
LandingGearUp.wav		100 2000 ; 127_0_81_ModCorvette
LandingGearUp.wav		100 2000 ; 128_0_82_Frigate2
LandingGearUp.wav		100 2000 ; 129_0_83_ModFrigate
LandingGearUp.wav		100 2000 ; 130_0_84_PassengerLiner
LandingGearUp.wav		100 2000 ; 131_0_85_CarrackCruiser
LandingGearUp.wav		100 2000 ; 132_0_86_StrikeCruiser
LandingGearUp.wav		100 2000 ; 133_0_87_EscortCarrier
LandingGearUp.wav		100 2000 ; 134_0_88_Dreadnaught2
LandingGearUp.wav		100 2000 ; 135_0_89_CalamariCruiserNew
LandingGearUp.wav		100 2000 ; 136_0_90_LightCalamariCruiser
LandingGearUp.wav		100 2000 ; 137_0_91_Interdictor2
LandingGearUp.wav		100 2000 ; 138_0_92_VictoryStarDestroyer2
LandingGearUp.wav		100 2000 ; 139_0_93_ImperialStarDestroyer2
LandingGearUp.wav		100 2000 ; 140_0_94_SuperStarDestroyer
LandingGearUp.wav		100 2000 ; 141_0_95_ModStrikeCruiser
LandingGearUp.wav		100 2000 ; 142_0_96_LancerFrigate
LandingGearUp.wav		100 2000 ; 143_0_97_BulkCruiser
LandingGearUp.wav		100 2000 ; 144_0_98_AssaultFrigate
LandingGearUp.wav		100 2000 ; 145_0_99_CorellianGunship
LandingGearUp.wav		100 2000 ; 146_0_100_MarauderCorvette
LandingGearUp.wav		100 2000 ; 147_0_101_ImpResearchShip
LandingGearUp.wav		100 2000 ; 148_0_135_CalamariWinged
LandingGearUp.wav		100 2000 ; 149_0_92_VictoryStarDestroyer2
LandingGearUp.wav		100 2000 ; 150_0_141_ImperialStarDestroyer2
LandingGearUp.wav		100 2000 ; 151__1_0
LandingGearUp.wav		100 2000 ; 152__1_0
LandingGearUp.wav		100 2000 ; 153_0_102_Platform1
LandingGearUp.wav		100 2000 ; 154_0_103_Platform2
LandingGearUp.wav		100 2000 ; 155_0_104_Platform3
LandingGearUp.wav		100 2000 ; 156_0_105_Platform4
LandingGearUp.wav		100 2000 ; 157_0_106_Platform5
LandingGearUp.wav		100 2000 ; 158_0_107_Platform6
LandingGearUp.wav		100 2000 ; 159_0_108_AsteroidBase
LandingGearUp.wav		100 2000 ; 160_0_109_Factory
LandingGearUp.wav		100 2000 ; 161_0_110_ShipYard
LandingGearUp.wav		100 2000 ; 162_0_111_RepairYard
LandingGearUp.wav		100 2000 ; 163_0_112_GolanOne
LandingGearUp.wav		100 2000 ; 164_0_113_GolanTwo
LandingGearUp.wav		100 2000 ; 165_0_114_GolanThree
LandingGearUp.wav		100 2000 ; 166_0_115_DerilynPlatform
LandingGearUp.wav		100 2000 ; 167_0_116_SensorArray
LandingGearUp.wav		100 2000 ; 168_0_117_CommRelay
LandingGearUp.wav		100 2000 ; 169_0_118_SpaceColony1
LandingGearUp.wav		100 2000 ; 170_0_119_SpaceColony2
LandingGearUp.wav		100 2000 ; 171_0_120_SpaceColony3
LandingGearUp.wav		100 2000 ; 172_0_121_Casino
LandingGearUp.wav		100 2000 ; 173_0_122_CargoFacility1
LandingGearUp.wav		100 2000 ; 174_0_123_CargoFacility2
LandingGearUp.wav		100 2000 ; 175_0_124_AsteroidMiningUnit
LandingGearUp.wav		100 2000 ; 176_0_125_ProcessingPlant
LandingGearUp.wav		100 2000 ; 177_0_126_RebelPlatform
LandingGearUp.wav		100 2000 ; 178_0_127_ImpResearchCenter
LandingGearUp.wav		100 2000 ; 179_0_128_FamilyBase
LandingGearUp.wav		100 2000 ; 180_0_129_FamilyRepairYard
LandingGearUp.wav		100 2000 ; 181_0_130_PirateShipyard
LandingGearUp.wav		100 2000 ; 182_0_131_IndustrialComplex
LandingGearUp.wav		100 2000 ; 183_0_132_PirateJunkyardBase
LandingGearUp.wav		100 2000 ; 184__1_0
LandingGearUp.wav		100 2000 ; 185__1_0
LandingGearUp.wav		100 2000 ; 186__1_0
LandingGearUp.wav		100 2000 ; 187__1_0
LandingGearUp.wav		100 2000 ; 188__1_0
LandingGearUp.wav		100 2000 ; 189__1_0
LandingGearUp.wav		100 2000 ; 190__1_0
LandingGearUp.wav		100 2000 ; 191__1_0
LandingGearUp.wav		100 2000 ; 192_1_40_LaserBat
LandingGearUp.wav		100 2000 ; 193_1_39_IonBat
LandingGearUp.wav		100 2000 ; 194_0_133_AsteroidLaserBattery
LandingGearUp.wav		100 2000 ; 195_0_134_AsteroidWarheadLauncher
LandingGearUp.wav		100 2000 ; 196_1_6_GunPlatform
LandingGearUp.wav		100 2000 ; 197_1_43_GunPad
LandingGearUp.wav		100 2000 ; 198_1_44_GunWarheadPad
LandingGearUp.wav		100 2000 ; 199_1_41_HomingMineA
LandingGearUp.wav		100 2000 ; 200_1_42_HomingMineB
LandingGearUp.wav		100 2000 ; 201_1_45_ProximityMineA
LandingGearUp.wav		100 2000 ; 202_1_46_ProximityMineB
LandingGearUp.wav		100 2000 ; 203_1_51_RebelPilot
LandingGearUp.wav		100 2000 ; 204_1_52_ImperialPilot
LandingGearUp.wav		100 2000 ; 205_1_53_CivilianPilot
LandingGearUp.wav		100 2000 ; 206_1_54_ZeroGStormtrooper
LandingGearUp.wav		100 2000 ; 207_1_55_ZeroGUtility
LandingGearUp.wav		100 2000 ; 208_1_56_Marko
LandingGearUp.wav		100 2000 ; 209_1_57_R2D2
LandingGearUp.wav		100 2000 ; 210_1_0_SatB
LandingGearUp.wav		100 2000 ; 211_1_1_SatC
LandingGearUp.wav		100 2000 ; 212_1_2_SatD
LandingGearUp.wav		100 2000 ; 213_1_7_Probe
LandingGearUp.wav		100 2000 ; 214_1_50_ProbeCapsule
LandingGearUp.wav		100 2000 ; 215_1_47_BuoyC
LandingGearUp.wav		100 2000 ; 216_1_48_BuoyB
LandingGearUp.wav		100 2000 ; 217_1_49_BuoyRendez
LandingGearUp.wav		100 2000 ; 218_1_8_BuoyFaux
LandingGearUp.wav		100 2000 ; 219_1_3_MineA
LandingGearUp.wav		100 2000 ; 220_1_4_MineB
LandingGearUp.wav		100 2000 ; 221_1_5_MineC
LandingGearUp.wav		100 2000 ; 222__1_0
