RebelLaser.wav			70 2000 ; 000__1_0 - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 009_0_8_TieDefender - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 009_0_8_TieDefender - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 009_0_8_TieDefender - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 009_0_8_TieDefender - IonCannon
IonCannonTurbo.wav		75 2800 ; 009_0_8_TieDefender - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 009_0_8_TieDefender - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 009_0_8_TieDefender - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 009_0_8_TieDefender - IonCannonStarship
unused ; 009_0_8_TieDefender - unused
RebelLaser.wav			70 2000 ; 010_0_9_IrdFighter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 010_0_9_IrdFighter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 010_0_9_IrdFighter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 010_0_9_IrdFighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 010_0_9_IrdFighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 010_0_9_IrdFighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 010_0_9_IrdFighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 010_0_9_IrdFighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 010_0_9_IrdFighter - IonCannonStarship
unused ; 010_0_9_IrdFighter - unused
RebelLaser.wav			70 2000 ; 011_0_10_ToscanFighter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 011_0_10_ToscanFighter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 011_0_10_ToscanFighter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 011_0_10_ToscanFighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 011_0_10_ToscanFighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 011_0_10_ToscanFighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 011_0_10_ToscanFighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 011_0_10_ToscanFighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 011_0_10_ToscanFighter - IonCannonStarship
unused ; 011_0_10_ToscanFighter - unused
RebelLaser.wav			70 2000 ; 012_0_11_MissileBoat - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 012_0_11_MissileBoat - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 012_0_11_MissileBoat - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 012_0_11_MissileBoat - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 012_0_11_MissileBoat - IonCannon
IonCannonTurbo.wav		75 2800 ; 012_0_11_MissileBoat - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 012_0_11_MissileBoat - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 012_0_11_MissileBoat - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 012_0_11_MissileBoat - IonCannonStarship
unused ; 012_0_11_MissileBoat - unused
RebelLaser.wav			70 2000 ; 013_0_12_Twing - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 013_0_12_Twing - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 013_0_12_Twing - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 013_0_12_Twing - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 013_0_12_Twing - IonCannon
IonCannonTurbo.wav		75 2800 ; 013_0_12_Twing - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 013_0_12_Twing - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 013_0_12_Twing - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 013_0_12_Twing - IonCannonStarship
unused ; 013_0_12_Twing - unused
RebelLaser.wav			70 2000 ; 014_0_13_Z_95 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 014_0_13_Z_95 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 014_0_13_Z_95 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 014_0_13_Z_95 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 014_0_13_Z_95 - IonCannon
IonCannonTurbo.wav		75 2800 ; 014_0_13_Z_95 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 014_0_13_Z_95 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 014_0_13_Z_95 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 014_0_13_Z_95 - IonCannonStarship
unused ; 014_0_13_Z_95 - unused
RebelLaser.wav			70 2000 ; 015_0_14_R41 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 015_0_14_R41 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 015_0_14_R41 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 015_0_14_R41 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 015_0_14_R41 - IonCannon
IonCannonTurbo.wav		75 2800 ; 015_0_14_R41 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 015_0_14_R41 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 015_0_14_R41 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 015_0_14_R41 - IonCannonStarship
unused ; 015_0_14_R41 - unused
RebelLaser.wav			70 2000 ; 016_0_15_AssaultGunboat - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 016_0_15_AssaultGunboat - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 016_0_15_AssaultGunboat - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 016_0_15_AssaultGunboat - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 016_0_15_AssaultGunboat - IonCannon
IonCannonTurbo.wav		75 2800 ; 016_0_15_AssaultGunboat - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 016_0_15_AssaultGunboat - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 016_0_15_AssaultGunboat - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 016_0_15_AssaultGunboat - IonCannonStarship
unused ; 016_0_15_AssaultGunboat - unused
RebelLaser.wav			70 2000 ; 017_0_16_SkiprayBlastBoat - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 017_0_16_SkiprayBlastBoat - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 017_0_16_SkiprayBlastBoat - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 017_0_16_SkiprayBlastBoat - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 017_0_16_SkiprayBlastBoat - IonCannon
IonCannonTurbo.wav		75 2800 ; 017_0_16_SkiprayBlastBoat - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 017_0_16_SkiprayBlastBoat - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 017_0_16_SkiprayBlastBoat - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 017_0_16_SkiprayBlastBoat - IonCannonStarship
unused ; 017_0_16_SkiprayBlastBoat - unused
EmpireLaserChChChhh.wav		70 2800 ; 018_0_17_TieBizarro - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 018_0_17_TieBizarro - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 018_0_17_TieBizarro - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 018_0_17_TieBizarro - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 018_0_17_TieBizarro - IonCannon
IonCannonTurbo.wav		75 2800 ; 018_0_17_TieBizarro - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 018_0_17_TieBizarro - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 018_0_17_TieBizarro - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 018_0_17_TieBizarro - IonCannonStarship
unused ; 018_0_17_TieBizarro - unused
EmpireLaserChChChhh.wav		70 2800 ; 019_0_18_TieBigGun - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 019_0_18_TieBigGun - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 019_0_18_TieBigGun - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 019_0_18_TieBigGun - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 019_0_18_TieBigGun - IonCannon
IonCannonTurbo.wav		75 2800 ; 019_0_18_TieBigGun - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 019_0_18_TieBigGun - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 019_0_18_TieBigGun - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 019_0_18_TieBigGun - IonCannonStarship
unused ; 019_0_18_TieBigGun - unused
EmpireLaserChChChhh.wav		70 2800 ; 020_0_19_TieWarheads - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 020_0_19_TieWarheads - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 020_0_19_TieWarheads - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 020_0_19_TieWarheads - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 020_0_19_TieWarheads - IonCannon
IonCannonTurbo.wav		75 2800 ; 020_0_19_TieWarheads - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 020_0_19_TieWarheads - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 020_0_19_TieWarheads - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 020_0_19_TieWarheads - IonCannonStarship
unused ; 020_0_19_TieWarheads - unused
EmpireLaserChChChhh.wav		70 2800 ; 021_0_20_TieBomb - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 021_0_20_TieBomb - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 021_0_20_TieBomb - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 021_0_20_TieBomb - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 021_0_20_TieBomb - IonCannon
IonCannonTurbo.wav		75 2800 ; 021_0_20_TieBomb - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 021_0_20_TieBomb - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 021_0_20_TieBomb - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 021_0_20_TieBomb - IonCannonStarship
unused ; 021_0_20_TieBomb - unused
EmpireLaserChChChhh.wav		70 2800 ; 022_0_21_TieBooster - RebelLaser
EmpireLaserChChChhh.wav		70 2800 ; 022_0_21_TieBooster - RebelLaserTurbo
EmpireLaserChChChhh.wav		70 2800 ; 022_0_21_TieBooster - EmpireLaser
EmpireLaserChChChhh.wav		70 2800 ; 022_0_21_TieBooster - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 022_0_21_TieBooster - IonCannon
IonCannonTurbo.wav		75 2800 ; 022_0_21_TieBooster - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 022_0_21_TieBooster - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 022_0_21_TieBooster - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 022_0_21_TieBooster - IonCannonStarship
unused ; 022_0_21_TieBooster - unused
RebelLaser.wav			70 2000 ; 023_0_22_CloakshapeFighter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 023_0_22_CloakshapeFighter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 023_0_22_CloakshapeFighter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 023_0_22_CloakshapeFighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 023_0_22_CloakshapeFighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 023_0_22_CloakshapeFighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 023_0_22_CloakshapeFighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 023_0_22_CloakshapeFighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 023_0_22_CloakshapeFighter - IonCannonStarship
unused ; 023_0_22_CloakshapeFighter - unused
RebelLaser.wav			70 2000 ; 024_0_23_RazorFighter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 024_0_23_RazorFighter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 024_0_23_RazorFighter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 024_0_23_RazorFighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 024_0_23_RazorFighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 024_0_23_RazorFighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 024_0_23_RazorFighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 024_0_23_RazorFighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 024_0_23_RazorFighter - IonCannonStarship
unused ; 024_0_23_RazorFighter - unused
RebelLaser.wav			70 2000 ; 025_0_24_PlanetaryFighter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 025_0_24_PlanetaryFighter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 025_0_24_PlanetaryFighter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 025_0_24_PlanetaryFighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 025_0_24_PlanetaryFighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 025_0_24_PlanetaryFighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 025_0_24_PlanetaryFighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 025_0_24_PlanetaryFighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 025_0_24_PlanetaryFighter - IonCannonStarship
unused ; 025_0_24_PlanetaryFighter - unused
RebelLaser.wav			70 2000 ; 026_0_25_SupaFighter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 026_0_25_SupaFighter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 026_0_25_SupaFighter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 026_0_25_SupaFighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 026_0_25_SupaFighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 026_0_25_SupaFighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 026_0_25_SupaFighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 026_0_25_SupaFighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 026_0_25_SupaFighter - IonCannonStarship
unused ; 026_0_25_SupaFighter - unused
RebelLaser.wav			70 2000 ; 027_0_26_Piggyback - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 027_0_26_Piggyback - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 027_0_26_Piggyback - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 027_0_26_Piggyback - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 027_0_26_Piggyback - IonCannon
IonCannonTurbo.wav		75 2800 ; 027_0_26_Piggyback - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 027_0_26_Piggyback - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 027_0_26_Piggyback - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 027_0_26_Piggyback - IonCannonStarship
unused ; 027_0_26_Piggyback - unused
RebelLaser.wav			70 2000 ; 028_0_27_Booster - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 028_0_27_Booster - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 028_0_27_Booster - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 028_0_27_Booster - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 028_0_27_Booster - IonCannon
IonCannonTurbo.wav		75 2800 ; 028_0_27_Booster - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 028_0_27_Booster - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 028_0_27_Booster - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 028_0_27_Booster - IonCannonStarship
unused ; 028_0_27_Booster - unused
RebelLaser.wav			70 2000 ; 029_0_28_PreybirdFighter - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 029_0_28_PreybirdFighter - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 029_0_28_PreybirdFighter - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 029_0_28_PreybirdFighter - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 029_0_28_PreybirdFighter - IonCannon
IonCannonTurbo.wav		75 2800 ; 029_0_28_PreybirdFighter - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 029_0_28_PreybirdFighter - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 029_0_28_PreybirdFighter - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 029_0_28_PreybirdFighter - IonCannonStarship
unused ; 029_0_28_PreybirdFighter - unused
RebelLaser.wav			70 2000 ; 030_0_29_Xwing - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 030_0_29_Xwing - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 030_0_29_Xwing - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 030_0_29_Xwing - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 030_0_29_Xwing - IonCannon
IonCannonTurbo.wav		75 2800 ; 030_0_29_Xwing - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 030_0_29_Xwing - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 030_0_29_Xwing - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 030_0_29_Xwing - IonCannonStarship
unused ; 030_0_29_Xwing - unused
RebelLaser.wav			70 2000 ; 031_0_30_SlaveOne - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 031_0_30_SlaveOne - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 031_0_30_SlaveOne - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 031_0_30_SlaveOne - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 031_0_30_SlaveOne - IonCannon
IonCannonTurbo.wav		75 2800 ; 031_0_30_SlaveOne - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 031_0_30_SlaveOne - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 031_0_30_SlaveOne - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 031_0_30_SlaveOne - IonCannonStarship
unused ; 031_0_30_SlaveOne - unused
RebelLaser.wav			70 2000 ; 032_0_31_SlaveTwo - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 032_0_31_SlaveTwo - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 032_0_31_SlaveTwo - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 032_0_31_SlaveTwo - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 032_0_31_SlaveTwo - IonCannon
IonCannonTurbo.wav		75 2800 ; 032_0_31_SlaveTwo - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 032_0_31_SlaveTwo - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 032_0_31_SlaveTwo - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 032_0_31_SlaveTwo - IonCannonStarship
unused ; 032_0_31_SlaveTwo - unused
RebelLaser.wav			70 2000 ; 033__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 033__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 033__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 033__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 033__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 033__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 033__1_0 - RebelLaserStarship
EmpireLaserStarship.wav		75 3000 ; 033__1_0 - EmpireLaserStarship
IonCannonStarship.wav		75 3000 ; 033__1_0 - IonCannonStarship
unused ; 033__1_0 - unused
RebelLaser.wav			70 2000 ; 034__1_0 - RebelLaser
RebelLaserTurbo.wav		70 2000 ; 034__1_0 - RebelLaserTurbo
EmpireLaser.wav			70 2000 ; 034__1_0 - EmpireLaser
EmpireLaserTurbo.wav		70 2800 ; 034__1_0 - EmpireLaserTurbo
IonCannon.wav			75 2800 ; 034__1_0 - IonCannon
IonCannonTurbo.wav		75 2800 ; 034__1_0 - IonCannonTurbo
RebelLaserStarship.wav		75 3000 ; 034__1_0 - RebelLaserStarship
